participant,stimulus,timestamp_ms,x,y,screen_w,screen_h
P01,stim_A_03.png,36,612,322,1536,738
P01,stim_A_03.png,75,648,259,1536,738
P01,stim_A_03.png,112,679,203,1536,738
P01,stim_A_03.png,149,750,154,1536,738
P01,stim_A_03.png,216,805,115,1536,738
P01,stim_A_03.png,266,852,87,1536,738
P01,stim_A_03.png,310,897,68,1536,738
P01,stim_A_03.png,350,896,58,1536,738
P01,stim_A_03.png,419,893,56,1536,738
P01,stim_A_03.png,465,943,54,1536,738
P01,stim_A_03.png,552,956,57,1536,738
P01,stim_A_03.png,629,891,64,1536,738
P01,stim_A_03.png,719,878,76,1536,738
P01,stim_A_03.png,771,868,88,1536,738
P01,stim_A_03.png,843,872,99,1536,738
P01,stim_A_03.png,890,872,112,1536,738
P01,stim_A_03.png,936,834,121,1536,738
P01,stim_A_03.png,1025,775,144,1536,738
P01,stim_A_03.png,13,540,166,1536,738
P01,stim_A_03.png,88,538,154,1536,738
P01,stim_A_03.png,182,541,146,1536,738
P01,stim_A_03.png,229,543,139,1536,738
P01,stim_A_03.png,261,543,134,1536,738
P01,stim_A_03.png,319,542,129,1536,738
P01,stim_A_03.png,392,534,124,1536,738
P01,stim_A_03.png,452,532,122,1536,738
P01,stim_A_03.png,544,533,121,1536,738
P01,stim_A_03.png,591,534,121,1536,738
P01,stim_A_03.png,642,539,123,1536,738
P01,stim_A_03.png,713,547,126,1536,738
P01,stim_A_03.png,777,552,128,1536,738
P01,stim_A_03.png,838,549,136,1536,738
P01,stim_A_03.png,921,555,140,1536,738
P01,stim_A_03.png,989,552,152,1536,738
P01,stim_A_03.png,1087,550,166,1536,738
P01,stim_A_03.png,1138,543,182,1536,738
P01,stim_A_03.png,1196,517,210,1536,738
P01,stim_A_03.png,1243,519,206,1536,738
P01,stim_A_03.png,1290,528,203,1536,738
P01,stim_A_03.png,1363,528,188,1536,738
P01,stim_A_03.png,1422,553,151,1536,738
P01,stim_A_03.png,1483,541,140,1536,738
P01,stim_A_03.png,1534,533,135,1536,738
P01,stim_A_03.png,1603,519,100,1536,738
P01,stim_A_03.png,1637,515,99,1536,738
P01,stim_A_03.png,1670,512,96,1536,738
P01,stim_A_03.png,1705,505,98,1536,738
P01,stim_A_03.png,1738,515,67,1536,738
P01,stim_A_03.png,1773,508,50,1536,738
P01,stim_A_03.png,1808,530,27,1536,738
P01,stim_A_03.png,1841,565,2,1536,738
P01,stim_A_03.png,1875,589,-14,1536,738
P01,stim_A_03.png,1909,587,-11,1536,738
P01,stim_A_03.png,1943,586,-9,1536,738
P01,stim_A_03.png,1977,577,-4,1536,738
P01,stim_A_03.png,2012,585,6,1536,738
P01,stim_A_03.png,2047,594,10,1536,738
P01,stim_A_03.png,2082,599,22,1536,738
P01,stim_A_03.png,2119,602,29,1536,738
P01,stim_B_03.png,2153,611,33,1536,738
P01,stim_B_03.png,2186,618,33,1536,738
